filter,verdict,rule_type,weight,years_verified,exceptions,teams_that_pass_2026,teams_that_fail_2026,notes
No 9-16 seed wins national championship,TRUE,Hard Rule,10/10,40,0,Arizona; Duke; Florida; Auburn; UConn; Michigan; Purdue; Houston,All 9-16 seeds,Ironclad — zero exceptions in 40 years of tourney
KenPom top-20 offense for champion,TRUE,Hard Rule,9/10,15,1 (2019 Virginia),Arizona (#8); Duke (#5); Florida (#3); Auburn (#11); UConn (#14); Michigan (#19); Purdue (#2); Houston (#22),Houston barely fails — exception risk,Virginia 2019 was historic outlier. Fade teams ranked 21+ on offense.
KenPom top-40 defense for champion,TRUE,Hard Rule,9/10,15,0,Arizona (#12); Duke (#9); Florida (#5); Auburn (#18); UConn (#11); Michigan (#22); Purdue (#25); Houston (#3),Michigan and Purdue borderline,Teams 41+ defensively have never won. Michigan (#22) just passes.
KenPom top-3 overall OR defending champion,TRUE,Hard Rule,8/10,10,1 (2022 Kansas #9),Florida (#1); Arizona (#3),Duke (#2 — counts); Auburn (#4 barely fails),This is a strong but imperfect filter. Top-4 overall is safer.
Week 6 AP Poll top-12 for eventual champion,MOSTLY TRUE,Soft Rule,6/10,20,3,Arizona; Duke; Florida; Auburn,UConn; Michigan; Houston,UConn won in 2024 as #14 AP. Fade this slightly but note correlation.
No team west of Texas wins title since 1997 (pre-Gonzaga era),OUTDATED,Low Weight,2/10,27,2 (2021 Gonzaga Final; 2022 Arizona runner-up),Arizona (West school — rule says fade),Arizona breaking this rule is a feature not a bug — contrarian value,This rule is from pre-transfer portal era. Arizona is legitimate. Fade the fade.
Champion seeded 1-3 in their region,TRUE,Hard Rule,8/10,30,2,Arizona (1); Duke (1); Florida (1); Auburn (1); UConn (2); Michigan (2); Purdue (2); Houston (2),All 4-16 seeds,Only two 4+ seeds have ever won — both were flukes
Champion comes from power conference,TRUE,Hard Rule,9/10,40,0,Arizona; Duke; Florida; Auburn; UConn; Michigan; Purdue; Houston,All mid-majors,Mid-majors cannot win the title — sample size is 0 over 40 years
Final Four has at least one double-digit seed,MOSTLY TRUE,Soft Rule,5/10,30,8,VCU (11); Iowa (9); Texas A&M (10),N/A — this tracks FF not champ,Roughly 75% of Final Fours have at least one double-digit seed or team seeded 5+
Champion head coach with 3+ tournament wins,TRUE,Soft Rule,7/10,20,2,Arizona (Tommy Lloyd — 3 wins); UConn (Dan Hurley — repeat champ); Michigan (Juwan Howard),Duke (Jon Scheyer — first Final Four); Auburn (Bruce Pearl — no title),Experience matters but young coaches do win. Lower weight.
